License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17687,Browning Avenue Apartments,906 Browning Ave,Takoma Park,20912,153874,-77.0008796,38.99620853,4/8/2019,,1,1,16,16,2.18,1.75,2,0.12,0,troubled,"(38.9962, -77.0009)"
17719,"Domer Avenue, 310",310 Domer Ave,Takoma Park,20912,139537,-77.00238556,38.99686477,3/17/2017,,1,1,6,6,3.16,1.53,1,0.16,0.33,troubled,"(38.9969, -77.0024)"
118934,The Flats at Columbia Pike,11556 February Cir,Silver Spring,20904,,-76.97689723,39.04685913,,,3,0,528,,,,,,,TBD,"(39.0469, -76.9769)"
50131,"Flower Avenue, 8407",8407 Flower Ave,Takoma Park,20912,139548,-77.00195621,38.99454466,3/21/2017,,2,0,1,1,2,2.5,0,0,0,at-risk,"(38.9945, -77.002)"
17387,Round Hill Apartments,8584 Freyman Dr,Chevy Chase,20815,147569,-77.05896468,38.99636389,6/26/2018,,3,1,150,43,0.97,1.12,17,0,0,compliant,"(38.9964, -77.059)"
17477,North Park Apartments,4615 Park Ave N,Chevy Chase,20815,154223,-77.09241112,38.9636738,4/15/2019,,3,1,310,71,0.56,0.87,42,0,0.01,compliant,"(38.9637, -77.0924)"
108606,7770 Norfolk,7770 NORFOLK AVE,BETHESDA,20814,,-77.09637977,38.98822279,,,3,0,200,,,,,,,compliant,"(38.9882, -77.0964)"
75916,The Galaxy,8025 13Th St,Silver Spring,20910,154276,-77.02841554,38.98688068,4/19/2019,,2,1,195,49,0.32,2.12,0,0,0.02,at-risk,"(38.9869, -77.0284)"
17031,"Flower Avenue, 8515",8515 Flower Ave,Takoma Park,20912,152894,-77.00270572,38.99632385,3/15/2019,,1,1,5,4,1.25,1.65,1,0.25,0.25,troubled,"(38.9963, -77.0027)"
17292,Summit Hills,8484 16Th St,Silver Spring,20910,154210,-77.0395172,38.99703107,5/9/2019,,3,1,1120,279,1.75,1.45,87,0.01,0,compliant,"(38.997, -77.0395)"
81220,Falkland Chase Apartments South,8305 16Th St,Silver Spring,20910,146672,-77.03627506,38.99276173,4/13/2018,,3,1,147,38,0.5,0.73,20,0,0,compliant,"(38.9928, -77.0363)"
18223,"Garland Avenue, 8305",8305 Garland Ave,Takoma Park,20912,151002,-76.99999643,38.99338595,10/25/2018,,2,1,6,6,0.5,1.38,1,0,0,compliant,"(38.9934, -77.0)"
100467,The Point at Hampton Hollow,3400 HAMPTON HOLLOW DR,SILVER SPRING,20904,154232,-76.93954396,39.07541676,5/1/2019,,3,1,240,57,0.64,1.1,33,0,0,compliant,"(39.0754, -76.9395)"
17620,Naples Manor,1 Carona Ct,Silver Spring,20905,144915,-77.02247527,39.10091806,11/20/2017,,2,0,64,18,1.22,1.65,2,0,0,at-risk,"(39.1009, -77.0225)"
